Mass,Distance,Radius,Cluster
1.0,15813.0,1.0,1
2.1,86.0,1.71,1
15.0,310.0,71.0,1
1.1,44.0,1.2,1
1.1,37.0,26.0,1
2.2,25.0,2.7,1
2.6,43.0,12.0,1
23.0,860.0,78.9,1
1.5,114.0,1.9,1
20.0,6401.0,950.0,1
6.7,144.0,9.3,1
10.5,390.0,8.6,1
1.8,17.0,1.8,1
18.0,320.0,8.9,1
1.5,65.0,44.0,1
12.0,600.0,680.0,1
11.43,260.0,7.47,1
1.9,34.0,8.8,1
1.9,25.0,1.8,1
19.0,2600.0,203.0,1
16.0,350.0,8.4,1
3.8,77.0,3.1,1
12.5,430.0,14.0,1
14.5,700.0,8.8,1
2.8,52.0,2.4,1
1.5,88.0,84.0,1
8.6,240.0,5.8,1
5.0,130.0,4.2,1
3.5,110.0,6.8,1
32.0,2000.0,42.0,1
9.0,1100.0,6.0,1
2.9,81.0,4.2,1
33.0,1050.0,20.0,1
4.25,120.0,30.0,1
8.5,590.0,68.0,1
17.0,1600.0,200.0,1
5.7,270.0,26.0,1
3.5,140.0,6.8,1
9.0,630.0,130.0,1
6.1,104.0,3.4,1
2.39,81.0,2.77,1
7.0,390.0,92.0,1
2.8,109.0,3.3,1
5.9,180.0,4.8,1
2.4,80.0,2.9,1
13.5,500.0,10.0,1
5.4,430.0,39.0,1
3.0,180.0,50.0,1
2.1,196.0,95.0,1
15.0,653.0,140.0,1
2.8,360.0,280.0,1
0.783,119.0,0.893,1
0.991,1992.0,1.22,1
0.82,1048.0,0.74,1
20.0,8900.0,485.0,1
100.0,7500.0,60881.0,1
4.5,887.0,44.5,1
19.2,6000.0,972.0,1
1.27,4425.0,1.48,1
22.0,8154.0,636981.0,1
30.0,5545.0,76.0,1
18.2,4900.0,5161050.0,1
0.7,1141.0,0.665,1
1.59,281.0,3.74,1
0.85,4566.0,85.0,1
0.76,361.0,0.94,1
1.2,300.0,370.0,1
13.9,14000.0,1158.0,1
0.6,1287.0,0.51,1
0.8,130.0,3.4,1
17.0,3900.0,1420.0,1
100.0,25000.0,320.0,1
24.0,169000.0,380.0,1
0.14,598.0,0.2,1
0.12,425.0,0.15,1
1.43,1470.0,1.58,1
290.0,163000.0,32.0,2
189.0,163000.0,21.1,2
19.0,18134.0,0.39,1
57.48,164000.0,14.47,1
1.01,2772.0,0.99,1
0.16,475.0,0.21,1
50.0,5251.0,16402770.0,1
0.075,1872.0,0.1,1
0.089,396.0,0.12,1
0.07,403.0,0.086,1
46.1,13542554186.0,0.045820224,1
192.0,2000402886410358.0,0.018137172,0
37.7,2002424630158201.0,0.075412452,3
236.0,2002741970503417.0,0.029592228,0
87.2,20030300145033.0,0.051547752,1
131.0,2003323861521309.0,0.027683052,0
31.0,2003451570523050.0,0.040092696,3
28.6,200361821.0,0.040092696,1
57.0,20045214163445.0,0.021955524,1
40.0,4701066803521.0,0.011455056,1
34.0,2005019943322402.0,0.03818352,3
96.0,2005842530651239.0,0.027683052,0
70.0,20103320193536.0,0.049638576,1
51.0,10752330041561.0,0.049638576,1
163.0,20117474340325.0,0.01909176,2
130.0,2014158234633574.0,0.01909176,0
70.0,15141691244296.0,0.044865636,1
111.0,20742480000562.0,0.044865636,1
101.0,2021038573015313.0,0.01431882,0
155.0,2023400936442068.0,0.01909176,0
152.0,2024111510326587.0,0.025773876,0
35.0,2024313712453298.0,0.031501404,3
53.0,77121.0,0.074457864,1
184.0,2025359803206373.0,0.06204822,0
24.0,2540223.0,0.06204822,1
16.2,2554700.0,0.07636704,1
45.0,2031854033421292.0,0.046774812,3
47.0,2032059651854233.0,0.084003744,3
192.0,2032310024631237.0,0.021955524,0
59.0,32553170425401.0,0.04295646,1
80.0,2032642252102057.0,0.017182584,3
98.0,2032842652302051.0,0.051547752,0
27.0,2033412184953322.0,0.069684924,3
20.9,94420.0,0.069684924,1
88.0,20345432254023.0,0.070639512,1
380.0,1.0,0.05250234,2
48.0,2035100040052452.0,0.097367976,3
29.8,2035523371133437.0,0.01909176,3
18.6,2041519540935066.0,0.02863764,3
85.0,2042850962253227.0,0.07636704,3
34.0,2043516121606574.0,0.0954588,3
142.0,2043627884114465.0,0.037228932,0
29.5,2043901012353083.0,0.045820224,3
82.0,2044337640002040.0,0.021000936,3
42.0,2044553873048204.0,0.061093632,3
